,auction_id,experiment,date,hour,device_make,platform_os,browser,yes,no
10,004c8a83-1c0f-4a4a-ba9e-bc89e8c0c0c1,control,2020-07-10,13,iPhone,5,Mobile Safari,0,0
25,00d22463-2d1f-44de-8d67-11d6c6b96a00,exposed,2020-07-03,1,iPhone,5,Chrome Mobile iOS,0,0
26,00e4f247-b54b-4f95-a000-ec4645d5a692,control,2020-07-03,15,iPhone,5,Mobile Safari,0,0
51,01b04c3a-8107-4b53-8532-122ff003f900,control,2020-07-04,4,iPhone,5,Mobile Safari,0,0
73,0270f4d1-654e-42e9-afec-76963504ef45,control,2020-07-03,15,iPhone,5,Mobile Safari UI/WKWebView,0,0
91,02fd317b-aa5a-48da-bf2a-c93aafc41c2d,control,2020-07-03,15,iPhone,5,Mobile Safari,0,0
103,034a8627-9426-4f6a-8c68-83cbf305afaf,control,2020-07-08,19,iPhone,5,Mobile Safari,0,0
145,0467d28b-c734-4ba7-b3aa-718d12097ba1,exposed,2020-07-07,11,iPhone,5,Chrome Mobile iOS,0,0
155,04a7940c-147b-4988-82ba-5b90bf69df45,control,2020-07-03,15,iPhone,5,Mobile Safari,0,0
165,04d92e6c-db97-474a-8d59-8907ddbe9755,exposed,2020-07-06,5,iPhone,5,Mobile Safari,0,0
172,05198ebc-0181-463f-afee-3a1e63dcd894,control,2020-07-09,10,iPhone,5,Chrome Mobile iOS,0,0
177,053943f2-6aed-4322-b27f-644d69abc3dc,exposed,2020-07-08,19,iPhone,5,Mobile Safari,0,0
188,056fdef5-660b-4467-afbd-668dfa52d5a6,control,2020-07-10,3,iPhone,5,Mobile Safari,0,0
246,076c217b-5ee9-4118-9f5c-1fe7d00da5c8,control,2020-07-05,12,iPhone,5,Chrome Mobile iOS,0,0
281,0851fdd1-2a99-4648-9ef1-c7009a01398b,control,2020-07-03,15,iPhone,5,Mobile Safari,0,0
317,098ba3a8-c19b-4065-8ee8-65be36cad92b,control,2020-07-06,6,iPhone,5,Mobile Safari,0,0
340,0a64c7d0-5fea-4fc1-aa2c-4b6ac08e2e61,control,2020-07-03,15,iPhone,5,Chrome Mobile iOS,0,0
367,0b47c542-41e9-4d25-ab4a-b01ea48a803d,exposed,2020-07-07,19,iPhone,5,Mobile Safari,0,0
394,0c21ebe1-dd4b-4ba2-93b4-c8d45e342082,control,2020-07-03,15,iPhone,5,Mobile Safari,0,0
427,0cfbc21d-27af-4007-95bb-cc3a6201f44b,control,2020-07-03,15,iPhone,5,Mobile Safari,0,0
467,0dfd0b49-2745-4d72-9324-9a4a79e0f201,control,2020-07-10,6,iPhone,5,Mobile Safari,0,0
472,0e0e74dc-1f8d-4d27-a362-5cd9dfbfc972,control,2020-07-08,12,iPhone,5,Mobile Safari,0,0
497,0eecc045-7a76-437b-a3b0-30bf7bace888,control,2020-07-05,16,iPhone,5,Mobile Safari UI/WKWebView,0,0
501,0f105892-a33e-4ea5-aa69-77ac3cb27418,control,2020-07-04,6,iPhone,5,Mobile Safari,0,0
545,10d511fb-67b2-4625-9cf0-eeae88d2abf1,control,2020-07-03,15,iPhone,5,Mobile Safari UI/WKWebView,0,0
586,12113d43-9213-490a-a71c-768b7890bde7,control,2020-07-03,15,iPhone,5,Mobile Safari,0,0
596,12391a37-cac5-4a38-8180-06250d66fdb6,control,2020-07-08,21,iPhone,5,Mobile Safari,0,0
598,123a1bd9-3ac1-4e21-a3f9-20a3d02d763e,control,2020-07-08,21,iPhone,5,Mobile Safari,0,0
